speaker,words
Thomas, Right‚ right. l'Jellf I was actually recruited because John Dreibelbis was interested in me‚ and he knew I had an interest in Grinnell. Arni he had a friendship with Harold Hardin. So Harold I-iardin thrOl:;gh ~f ohn had actually recruited me. '.rhe college itself did not‚ but I will say for the college's benefit that the college once I got back in the process was very good. fhey worked hard with me to get me to come to Grinnell‚ and they were surprised when I showed up on the morning of ~ranuary 16th. And I got here in the morning about 12:JO of January 16th. John told me to meet the Episcopal minister‚ that he was going to meet me at the railroad station‚ and he was not there. called s_nd got another ticket home. So rn;y second view of Grinnell was sort of when I came back that time as opposed‚ to that i tme I c;:UfH:‚ in filarch of '66. I woke up staring into these blue eyes. 'Jlhis litt1e girl was standing there‚ and she went off‚ and said‚ “!1'Iam2‚‚ that rnan' s awaJ.::e‚“ John had told me not to go over to the campus'till about 10:00‚ that's when they were expecting me‚ I found 01‚it. I got to the campus‚ and I walked in with my crutches‚ and I saw Dale Terry greeting me and asJring me how was doing‚ what was v‚‚rrong with my foot and that kind of' thing‚ T;hen he said‚ “Frank‚ what are you doing here?“ I 1oo1ced at him‚ and :U+‚ 000 wheels suddenly started spinning‚ and I'd suddenly figured out that John had come up vdth a plan‚ that he 1';:new that Grinnell had accepted me‚ and that I was going to enter in September. He felt that if I did--I think he thought if I didn't go in January that I migl1t lose ir1t-;er&middot;est. V~e.J_l‚ I vvas 1'1ot goir1g to lose in-terest ~ So he had sent me out to Grinnell on the theory that if I got out here they we:i:'e not going to send me home. 'iJell‚ I thin'..lt he was right‚ but it did not seem that way at the time. So they all said‚ “I thought ve hac1:. agreed‚ and we talked about it.“ 'I1hey said 9 “Okay~ I 1 11 tGll you what 1.Ne 're going to do/' He said what language are you inte:~ested in‚ and I said‚ “German and French. 11 He s2.id 9 ““.'&middot;Jhich one would you pre.fer?' I said.‚ ''Gerri.1an.“ So he gave me an appointment with Profet'3t':ior Brown in the German Department and to go see him and eat lunch and come back after lunch arid the financial aid people were meeting this mornine;‚ and I'll talk with someone about your case and see what we can do for you. I came back af'fter lunch and came in‚ an.d Dale said‚ “hJell‚ welcome to Grinnell.“ '];hat's how I got in. 
Yeager, ~ere your friends supportive of your going to Grinnell? 
Thomas, Yes. 
Yeager, Did they think it was unusual that you were going to such a rura1 school or not really? 
Thomas, No‚ no not really. Thaddas had gone to Harvard‚ a white school‚ and other people always knew I'd go to college so they were very supportive. They h.ad :no problem with me going to college. IVly mother had some apprehensions about me going out to Iowa with all the white people and going away from home. She didn't know what I was going to do when I got there. But hell‚ I was resisting the idea. I was an adult‚ and I thought it was silly for her to be that concerned about it. l1ut she was kind of concerned that I'd be out there with all those white :people‚ and what kind of effect that was going to h2_ve on me‚ and she wanted ~ne to know that I could come home if things got bad. But for the most part‚ people were very supr)ortive to this. 
Yeager, What were your goals at Grinnell? Your outlook for the future‚ and if any‚ what dreams did you nave when you came to Grinnell for the future? 
Thomas, My goal at Grinnell was to get tha‚t piece of paper‚ and I knew from the things I 'd done in that intervening five ~rears‚ I knew‚ my feeling that academics were not that important. What are you looking for? 
Yeager, I just want to make sure this tape does not run out. Okay‚ can watch it. 
Thomas, Academics‚ per se‚ were not that important as staying in and getting enough grades sufficient to stay in Grinnell. My goal was to get that piece of paper‚ apd my secondary goal was to experience fun; have my childhood‚ because I had been forced in growing up to accept a lot of responsibility for family counseling--counseling other persons in my family and doing other things that essentially took my childhood away. I had to be a responsible kid so I had never really had a chance to sort of play. And I saw Grinnell as an opportunity to do that. 
Yeager, Had you had time to date while you were in Chicago? I mean you weren't that busy. 
Thomas, No‚ I dated. I dated more after high school than I did in high school. Yes‚ I did that kind of stuff. It was just that I had to be responsible for my sister~ And it was a battle. I kept fighting getting married. Some of the people that I dated were interested in getting married--particularily‚ this one woman. My family was very‚ filled with pressure to ga;; married. Get married. And eventually we broke up because of the very issue. She wanted to get married now‚ and I said‚ “Look‚ I gotta go to school.“ Those were our continuing battles‚ and she said‚ “Well‚ do it and you can always go here.“ I said that if I got married I knew that I wouldn't go to school. That was one of the serendipitous kinds of decisions I made. So we broke up in &bull;66. 
Yeager, Is this someone you were very close to? 
Thomas, Oh yes‚ very close. We'd been together since the summer of '63. So my goals were to have fun and get the piece of paper. And just sort of experience college life‚ going back to my ideas about buying the “American Dream.“ I had thought that part of the dream was college. That was going to be a very important time of my life. Although somewhat older than the average entering student. I saw that as a time to do that kind of thing. So that's what I did. I jokingly refer to the majoring in Grinnell in folk dancing‚ table tennis‚ and women--general recreation. My actual major was history. But I thought for the future‚ I saw myself coming out and actually being a psychologist because I wanted to be a psychologist. Grinnell changed that because Grinnell at the time was what we call the “rat“ school. It was not dealing with people. It did not have the facilities. 
Yeager, What kind of a school did you call it? A'~a~“school? A 11&middot;r.at“ &middot;schoc‚l? r&middot;~:a. t. 
Thomas, Yes‚ an experimental‚ with running mice through mazes and things like that. 
Thomas, 1-was not interested in that. I was people-orientated so I was not interested in that kind of thing. So that changed me into something else. I had to become something so I changed to a history major. And from a history major I wanted to go into Law school. I woke up in the beginning of my senior year‚ end of my junior year; suddenly realized I had a decision to make; and I also had a good CUM in my major. I was not good overall‚ but I got really essentially plagued‚ and I said what am I going to do? I can't go to school in history. So I applied to Law school. 
Yeager, But you didn't have that goal in mind when you started Grinnell? 
Thomas, No‚ absolutely no because my mother wanted me to become a lawyer. She was bound and determined that her younger‚ youngest son was going to be a lawyer. And the older one was going to be a doctor. 
Yeager, Did he become a doctor? 
Thomas, No. And hell‚ I thought that all that time up until I woke up and said what am I going to do? So I went into Law school. I fullfilled her dream. I became a lawyer. But that was not my dream. 
Yeager, What was your ultimate dream? Was it to become a chemical engineer at the time? 
Thomas, No‚ I had changed it. Well‚ my ultimate dream at the time when I first began at Grinnell was to be a psychologist. During that time‚ I'm not sure what I was going to do after I realized I was not going to be a psychologist at Grinnell. I guess I didn't have any real vision. I knew I'd get out of school. I knew I'd do something. But I didn't know what I was going to do. I had no worries‚ incidently‚ because I knew that I had a lot of talent and ability‚ and I knew I was going to be something. 
Yeager, So you came into the school with some confidence in yourself? That probably had something to do with your work experience? rhat you had the years of independence. 
Thomas, I think so. I think that was definitely the basis for that. 
Yeager, I was going to ask you what were you primary concerns as a student at Grinnell. Of course‚ that's related to your goals. You wanted to play. You wanted to get your diploma. 11\Jhat were your concerns in the world‚ your concerns‚ your general concerns? What were you thinking about at the time? 
Thomas, I was thinking about the fact that the country was in a mess racially. I was very much against the war. 
Yeager, Can I interrupt? Your brotl;l.er was in the service‚ but was he in the war itself? 
Thomas, Yes‚ to some extent. Although he doesn't talk about it‚ and it's something we keep from my mom. She was always worried that he'd go to Vietnam. He did go to Vietnam‚ but he doesn't talk about it. Yes‚ I don't know what to say‚ but yes he did. So I don't know yet to this day to what extent he did what in Vietnam. 
Yeager, He didn't tell you that he'd been in Vietnam? 
Thomas, He told me he had been there‚ but he didn't want to discuss the experience‚ and he especially did not want to discuss it with my mother there. 
Yeager, Okay‚ so you were very much against the war. 
Thomas, And I was that the political process in this country was going nowhere. That it did not speak to the needs‚ that Isaw in this country‚ for quality‚ for the end of the war‚ for getting rid of the crap‚ for providing some means for&middot;people to live decent‚ productive lives. I thought the political process was not speaking for those needs. I guess for my age‚ I was also affected very much by John Kennedy in that I thought Kennedy as being as not as good as a lot of people saw him‚ but I saw him as being sort of a symbol. And I think there's a true lesson in that because he really was a symbol for a lot of people. 
Yeager, What did he symbolize to you? 
Thomas, Spirit. He symbolized an A spirit where a awakening of a different kind of American lot of people could pull together instead of a lot of poepl getting it and being supported by a lot of peoplelike myself; black people‚ people in the lower economic scale‚ wh&middot;at&middot;~ ever. And that he gave a lot of hope to a lot of people. He was a symbol. Although he‚ himself‚ I recognized the fact that John Kennedy‚ himself‚ really was not that much of a good person‚ in the sense that we sort of saw him and idolized him from afar. As a person he wasn't that way but as a symbol he was that way and of course‚ maybe that was in a way more important thing‚ as he was perceived. I thought of John F. Kennedy in that way. So that affected me. So I guess sort of important to that perception of John F. Kennedy‚ and I recognized that I was anti-Nixon. I had been antiNixon since 1952 tjust before I turned eight. I heard Nixon on the radio‚ and I said to my mother‚ and I remember very distinctively‚ “I don't like that man.“ I did not like him‚ and I still don't like Nixon. So there he was‚ running against this guy who was going to symbolize things. And then Kennedy was killed‚ and Nixon went on being wierd and other things. So Johnson had my sight because Johnson rode the grounds well for the Kennedy staff (after Kennedy's death) to institute a lot of things which on the balance were verygood. There's a lot of debate with sociologists and historians as to whether there was any good f9r society as a whole. At the time‚ I still think so because I think that may have created certain problems. But those problems may have been created more because of the fact‚ people at the top really got greedy. And a lot of people got greedy‚ piltting their fingers into the pie. But the basic concept of a freedom society in providing equal voting rights‚ all that kind of stuff were very and I still think they were. 
Yeager, There was a question of monitoring‚ You know trying to p~t sor11e -t~rpe of cont~rol clr1d &yen;.rat:ct1 over tt1ir1gs -..to rnake s1..1r~e wthe:l 1~ar1 efficiently. The ideas the:mself were accu.rate for the -~irnes‚ but r~igh~t nov1? 
Thomas, But of course‚ during this time the marches were going. T .L went on a march. I met Dr. King; I marched with Dr. King. 
Yeager, You marched with Dr. King where? 
Thomas, In Chicago. I didn't get that close to him‚ but nevertheless I marched with Dr. King.
Yeager, Iiis daughter is here now. You know all that. 
Thomas, And Dr. King still affected me. I was in the King camp‚ and it's something that's :not talked about that :cnuch anymore‚ but just before Dr. King was killed there was a big split in the black community as to whether King was on the right track. :i{ing had suddenly gone into being against the war. There was a logical extension as to who the man was and the kind of things he wa.s saying. So he had gone to being against the war:‚ and some of the people; the “bJ.ac};: n1il~ita11ts \Nere sayir1g at the -tin1e‚ 'jI-Iey j v.re a:ce stiJ_l r1er&middot;e-in this country being httrt‚ and you ~re not add::~essing our nesds and you are on the wron[:; track.'\ arid by then. we had various languages or rhetoric com.ing out of l'1Ialcom X and his staff and other people Elijah ~iuhammed and all these people. AJ.l. these things vvere sort of coalescing at o:ne time particulari1y oi: people of m.y generation. :3o \;here was a split and my generation really personified that in t1'1at tl1c)Se of us &middot;t:r1a-t v1e1--e a‚ro1.‚1nci 1n~‚r age \&bull;ver--e spli-tti.ng as ~co vvhetl'1e~c 1(ir1g: \Vets on the r~ig&middot;}1t t:r-ac1~ g V1iere \\l“e supposed to f'lollov{ King or“ g&middot;o or+ r&bull;nrl 1)‚‚‚‚..‚&bull;&bull; bu~lrl~nc:c') \‚~‚j all of' t'r&bull;&middot;:-&middot;&middot;&middot;ot c}&bull;‚::i~.crec~ ~n '1 1‚ril o+' if..‚f:! ~ ‚t“ d. ‚.‚ &bull;-“-~ ‚.l ..L \... ...L t:‚. !.&middot;ui. ~ I ct. v 0 ‚‚ull0 ‚.. ..!. .. 1-1.i:-_ ~ J.. _‚ v when King got killed. 
Yeager, I 1 m going to ask you some more specific questions about King later. I wanted to ltnow. You said you did not have a problem with 5.djusting to a rural setting. Is that true? Being b!'ought up in a city as Chicago‚ as cosmopolitan. 
Thomas, The only adjustment process I had to a rural. setting was that I was already t 1Nenty-two when I got here‚ and I had been used to going out and spending until l.H 00 a.m. drinking and :playing around. \'lhen I got to Grinnell~ women we:;..~e still being locked up; 10: JO wee1rnights‚ 11:JO p.-1::1. Frida:&#10003;-night~ 12:JO p.m .. on Saturday nights. Although men were not‚ and the bars closed 1:00 a.m. during the week a.:r1d. 2:0() a.‚111. ot1 ~)att1rclE.tJr night(‚) ir.hat v‚ta‚s t}1e bigf1;est adjtistmt:~nt I had to make to a rural sstt:Lng. I was old enough and vvas self contained enough to be able to exist within this place and to recognize the diversity of the things that were being offered that I could take advantage of. So I've never had that kind of sense of aloneness that I think other black students had actually the ones on campus. One thing I had was a lot of contact with white people already. I'd worked in the work-day world within the white world‚ not in the sense of menial jobs where a lot of blacks work; work in a world of white collar area with computers and stuff: 1like~.that and a lot of people I worked with were fun. So I did not have that sense of alienation although I had a lot of quirks about it at the time I had that kind of thing but not the same feeling. I was sitting here being very much comfortable in Grinnell‚ at the college. I was not that comfortable in town‚ but there were some certain ~lements in the town. Although I think that on the balance I was more comfortable with the people in town than a lot of other black students were. I think maybe because of the work experience‚ and I was also still an Episcopalian and still active in church and I got involved with still some more people in that town that way; just understand not completely‚ but I had just started growing away from the church‚ but I was still involved with the church. 
Yeager, How&middot;many black students were attending Grinnell when you arriveq‚ approximately? 
Thomas, I would say approximately twenty. 
Yeager, Only twenty black students. 
Thomas, There might have been thirty. 
Yeager, In 1967. 
Thomas, There were not a whole lot‚ maybe even less than that. It was a small group‚ and we all got to know each other‚ we all got to know who each other was. So it was small‚ and there was no sense of banding together at the time‚ and as I said before‚ that you would hear from these people who were here at this time that the banding together came about because all these things were happening to the black students‚ within the town especially. 
Yeager, That was 1968. 
Thomas, 1967-1968. 
Yeager, So you were here when the banding began? 
Thomas, Oh‚ yeah. I was one of the students here who helped found CBS. See‚ CBS was formed the fall of &bull;67‚ in essence the group began in the early part of 1 68. So CBS was a functioning entity. I think of it such when King was killed. Fortunately‚ I think fortunately. 
